freq_Hz,freq_GHz,lineshape_1_per_Hz
37116017958.469940,37.116017958470,7.528424031412e-08
37116018144.050613,37.116018144051,7.647839792008e-08
37116018329.631287,37.116018329631,7.768955497477e-08
37116018515.211960,37.116018515212,7.891791965490e-08
37116018700.792633,37.116018700793,8.016370213057e-08
37116018886.373306,37.116018886373,8.142711457565e-08
37116019071.953987,37.116019071954,8.270837123100e-08
37116019257.534660,37.116019257535,8.400768820328e-08
37116019443.115334,37.116019443115,8.532528379099e-08
37116019628.696007,37.116019628696,8.666137828448e-08
37116019814.276680,37.116019814277,8.801619402812e-08
37116019999.857353,37.116019999857,8.938995543008e-08
37116020185.438034,37.116020185438,9.078288902961e-08
37116020371.018707,37.116020371019,9.219522327674e-08
37116020556.599380,37.116020556599,9.362718888527e-08
37116020742.180054,37.116020742180,9.507901861387e-08
37116020927.760727,37.116020927761,9.655094733204e-08
37116021113.341400,37.116021113341,9.804321202928e-08
37116021298.922073,37.116021298922,9.955605182394e-08
37116021484.502754,37.116021484503,1.010897080356e-07
37116021670.083427,37.116021670083,1.026444239405e-07
37116021855.664101,37.116021855664,1.042204451587e-07
37116022041.244774,37.116022041245,1.058180194108e-07
37116022226.825447,37.116022226825,1.074373965889e-07
37116022412.406120,37.116022412406,1.090788287650e-07
37116022597.986801,37.116022597987,1.107425702674e-07
37116022783.567474,37.116022783567,1.124288774143e-07
37116022969.148148,37.116022969148,1.141380089314e-07
37116023154.728821,37.116023154729,1.158702256875e-07
37116023340.309494,37.116023340309,1.176257907688e-07
37116023525.890167,37.116023525890,1.194049694868e-07
37116023711.470840,37.116023711471,1.212080293850e-07
37116023897.051521,37.116023897052,1.230352403213e-07
37116024082.632195,37.116024082632,1.248868741731e-07
37116024268.212868,37.116024268213,1.267632052946e-07
37116024453.793541,37.116024453794,1.286645102235e-07
37116024639.374214,37.116024639374,1.305910677619e-07
37116024824.954887,37.116024824955,1.325431589816e-07
37116025010.535561,37.116025010536,1.345210672304e-07
37116025196.116241,37.116025196116,1.365250782203e-07
37116025381.696915,37.116025381697,1.385554797019e-07
37116025567.277588,37.116025567278,1.406125619641e-07
37116025752.858261,37.116025752858,1.426966175103e-07
37116025938.438934,37.116025938439,1.448079411450e-07
37116026124.019608,37.116026124020,1.469468299779e-07
37116026309.600288,37.116026309600,1.491135835181e-07
37116026495.180962,37.116026495181,1.513085033206e-07
37116026680.761635,37.116026680762,1.535318935242e-07
37116026866.342308,37.116026866342,1.557840604998e-07
37116027051.922981,37.116027051923,1.580653129425e-07
37116027237.503654,37.116027237504,1.603759618744e-07
